TRAVEL_ID,POI_ID,POI_NM
d_d008242,POI01000000ALIOWT,화목원웨딩홀
d_d001689,POI01000000EG6H8L,휴안퍼펙트볼링클럽
d_d004789,POI01000000B31Y5E,오설록티뮤지엄
d_d000030,POI01000000C2H8HG,보성아파트/10동
a_a006367,POI010000006KFL9V,청송빌딩
d_d008119,POI01000000EG4GIS,연리재
b_b006007,POI01000000BSL45T,한려수도조망케이블카
a_a001479,POI01000000B5G3ZU,지엘시티호텔
d_d000827,POI01000000EG7PJ5,제주서프하우스
d_d002195,POI01000000CD9XD4,용연구름다리
d_d004333,POI01000000EHG8ZE,성산포항종합여객터미널주차타워
d_d002588,POI01000000B30FMB,동해미락
a_a002963,POI01000000B19IVU,초지진
d_d007124,POI010000006W2FIX,SODIFF벤처오피스텔
a_a004804,POI01000000C44Z1G,석산주택A동
d_d006186,POI01000000C12OML,안성삼정그린코아더베스트아파트/106동
d_d002237,POI01000000EBU51L,도들봉공원
c_c000009,POI01000000BYMSZI,옥포항
d_d001147,POI01000000BZ1T77,산방산온천
d_d000435,POI01000000EG7VA2,아띠하우스
a_a007368,POI010000006E0L78,구읍뱃터프라자관광어시장
d_d005156,POI01000000EG3SK5,제주드림타워복합리조트
d_d007806,POI01000000C6AGHL,영시티N동
a_a006433,POI010000006EGDW5,송도한옥마을어담
d_d000795,POI010000006VVCPT,미소게스트하우스
d_d002348,POI01000000BSF3K1,안산버스터미널
d_d009967,POI01000000EBRRFI,이호테우해수욕장
d_d009816,POI0100000078RS93,샐리스제주호텔
d_d003108,POI01000000B34E5X,화조원
d_d000825,POI0100000078LTJ8,제주평화렌트카
d_d001027,POI01000000C9MD3J,혁진빌
d_d012430,POI01000000C9JYQO,중앙빌
d_d001272,POI01000000BZ246I,서귀포항
d_d010686,POI01000000BSCGYP,서귀포시공영주차장
d_d000524,POI01000000ALH8Q6,HISive
d_d004698,POI01000000B2CNEM,광주송정역
d_d002389,POI01000000EG90GF,예수중심교회
d_d002732,POI01000000BSCGYP,서귀포시공영주차장
d_d001385,POI01000000E85UFW,송학펜션산지버스정류장
d_d001209,POI01000000B32IWQ,NH성산일출봉농협
d_d005925,POI01000000ALBVGD,제주신화월드테마파크
d_d002187,POI010000006W7BS8,ICC제주국제컨벤션센터
d_d001737,POI01000000B31E6V,그랜드메르호텔제주
d_d000150,POI01000000EG8L7Q,금능식물원
d_d009788,POI01000000C9JSG8,빌라더모스트
d_d010414,POI0100000078R73C,라마다호텔제주
d_d012235,POI01000000BZ21AJ,서복전시관
d_d004978,POI01000000BSCGYP,서귀포시공영주차장
a_a003214,POI01000000B5M8IO,현대프리미엄아울렛
d_d001639,POI01000000B354TC,MG새마을금고제주연수원
d_d001394,POI01000000EBRYW6,중문색달해수욕장
d_d001967,POI01000000B31ZGQ,저지문화예술인마을
d_d010401,POI01000000B32DXM,코업시티호텔성산
b_b002249,POI01000000C0RFIW,참솔마을월드메르디앙/111동
d_d000663,POI01000000B305HW,우리승마장
b_b000786,POI01000000EBS1DR,NH농협은행제주수련원
d_d004592,POI01000000C9IVLF,더웰도평106동
d_d005620,POI010000006BCC34,와우마이치킨
b_b000187,POI01000000947RX4,중화수산
d_d003907,POI010000006KO4KY,롯데월드어드벤처
d_d004363,POI01000000B31L84,본태박물관
d_d001011,POI01000000EGA3X0,표선해비치해변야영장
d_d010849,POI01000000ALBVGD,제주신화월드테마파크
d_d000007,POI01000000DOUOR6,소심한이층
d_d010562,POI01000000B3200C,대산파이프
d_d006378,POI01000000C1PUJB,용현현대아파트/101동
d_d012293,POI01000000C9OD7P,전원빌
